170	Welcome to Camden Town!	Willkommen in Camden Town!
170	What can you see?	Was siehst du?
170	can	können
170	to see	sehen
170	a, an	ein(e)
170	car	Auto
170	I	ich
170	Listen.	Hör zu.
170	What can you hear?	Was hörst du?
170	to listen to	zuhören; (anhören)
170	Where is ...? / Where are ...?	Wo ist ...? / Wo sind ...?
170	near the dogs	neben den Hunden
170	in his room	in seinem Zimmer
170	in front of a shop	vor einem Geschäft
171	this	diese(r, s); das
171	and	und
171	too	auch
171	twin	Zwilling
171	boring	langweilig
171	football	Fußball
171	the	der / die / das
171	Write down and learn "your" sentences.	Schreibe „deine“ Sätze auf und lerne sie.
171	to read	lesen
171	Write down three words and add pictures.	Schreibe drei Wörter auf und füge Bilder hinzu.
171	Hang up your collages in your classroom.	Hängt eure Collagen in eurem Klassenzimmer auf.
171	picture	Bild
171	What's ... in English?	Was bedeutet ... auf Englisch?
171	to write (down)	(auf)schreiben, (nieder)schreiben
171	dog	Hund
171	reading (no pl)	Lesen
171	phone number	Telefonnummer
171	Find a girl/boy with the same ...	Finde ein Mädchen/einen Jungen mit demselben/derselben ...
171	to find	finden
171	pet	Haustier
171	Collect your texts. Take one. Read out a sentence. Who is it?	Sammle eure Texte ein. Nimm einen davon. Lies einen Satz vor. Wer ist es?
171	to play (a game)	(ein Spiel) spielen
171	Are you ...?	Bist du ...?
171	Listen to the song and sing it.	Hör dir das Lied an und sing mit.
171	last name	Familienname
171	Ask and answer questions.	Stelle und beantworte Fragen.
171	How many ...?	Wie viele ...?
171	thing	Ding, Gegenstand, Sache
172	shut up (informal)	Halt deinen Mund!
172	I'm at Camden School for Girls.	Ich bin auf der Camden School for Girls.
172	school	Schule
172	for	für
172	girl	Mädchen
172	to go to school together	zusammen zur Schule gehen
172	he's (= he is)	er ist
172	friend	Freund/in
172	yes	ja
172	his	sein(e, r)
172	So he isn't a baby like George.	Also ist er kein Baby wie George.
172	on	auf
172	bed	Bett
172	you're (= you are)	hier: du bist
172	Complete the sentences. Write them down.	Vervollständige die Sätze. Schreibe sie auf.
172	(for) example	(zum) Beispiel
